Frog,Morph,Color,Slide/section,Total area,Melanophores,%mel,Xanthophores,%xan,Glands,%glands,Epidermis,Data analyzed
SAO5,banded,black,S7-1-2,388633,50963,13.11,0,0.00,0,0.00,82703,8/6
SAO5,banded,black,S7-2-1,338804,45810,13.52,0,0.00,0,0.00,59106,8/6
SAO5,banded,black,S7-2-2,416132,61061,14.67,0,0.00,7191,1.73,86675,8/6
SAO5,banded,black,S7-3-1,357564,87376,24.44,0,0.00,9090,2.54,71481,8/6
SAO5,banded,black,S7-3-2,270566,39313,14.53,0,0.00,0,0.00,60808,8/6
SAO5,banded,black,S8-1-1,463583,59815,12.90,0,0.00,8805,1.90,82565,8/6
SAO5,banded,black,S8-1-2,653147,74406,11.39,0,0.00,14392,2.20,113537,8/6
SAO5,banded,black,S8-2-1,335864,37601,11.20,0,0.00,0,0.00,57257,8/6
SAO5,banded,black,S8-2-2,449888,64792,14.40,0,0.00,3730,0.83,76351,8/6
SAO5,banded,black,S8-3-1,467544,63685,13.62,0,0.00,6422,1.37,98821,8/6
SAO5,banded,black,S8-3-2,363113,45847,12.63,0,0.00,6725,1.85,69598,8/6
SAO5,banded,black,S9-1-1,476132,56034,11.77,0,0.00,0,0.00,83499,8/6
SAO5,banded,black,S9-1-2,380705,55370,14.54,0,0.00,0,0.00,75124,8/6
SAO5,banded,black,S9-2-2,295928,37887,12.80,0,0.00,0,0.00,61445,8/6
SAO5,banded,black,S9-3-1,471093,52951,11.24,0,0.00,0,0.00,93445,8/6
SAO5,banded,black,S10-1-2,250832,35580,14.18,0,0.00,0,0.00,49650,8/6
SAO5,banded,black,S10-2-1,337823,36357,10.76,0,0.00,3893,1.15,73499,8/6
SAO5,banded,black,S10-2-2,357565,58702,16.42,0,0.00,0,0.00,69408,8/6
SAO5,banded,black,S10-3-1,402045,54917,13.66,0,0.00,12872,3.20,88197,8/6
SAO5,banded,black,S10-3-2,347195,48157,13.87,0,0.00,0,0.00,67684,8/6
SAO5,banded,black,S11-1-1,308752,36049,11.68,0,0.00,15172,4.91,64317,8/6
SAO5,banded,black,S11-1-2,366608,56143,15.31,0,0.00,0,0.00,81144,8/6
SAO5,banded,black,S11-3-2,355316,43197,12.16,0,0.00,0,0.00,66584,8/6
SAO6,banded,black,S12-1-1,292039,56924,19.49,0,0.00,13196,4.52,75221,8/6
SAO6,banded,black,S12-2-1,316969,66024,20.83,0,0.00,13118,4.14,90867,8/6
SAO6,banded,black,S12-3-1,322922,57822,17.91,0,0.00,7666,2.37,74259,8/6
SAO6,banded,black,S12-3-2,443379,81639,18.41,0,0.00,10186,2.30,112103,8/6
SAO6,banded,black,S13-1-1,343447,75850,22.08,0,0.00,7049,2.05,84789,8/6
SAO6,banded,black,S13-2-1,423044,89010,21.04,0,0.00,12386,2.93,113887,8/6
SAO6,banded,black,S13-2-2,381037,90226,23.68,0,0.00,0,0.00,102068,8/6
SAO6,banded,black,S14-1-1,342396,58073,16.96,0,0.00,14263,4.17,121359,8/6
SAO6,banded,black,S14-1-2,297940,45626,15.31,0,0.00,19532,6.56,62506,8/6
SAO6,banded,black,S14-2-1,287736,64176,22.30,0,0.00,0,0.00,106284,8/6
SAO6,banded,black,S14-2-2,253936,45727,18.01,0,0.00,0,0.00,67985,8/6
SAO6,banded,black,S14-3-1,241048,50851,21.10,0,0.00,29369,12.18,72302,8/6
SAO6,banded,black,S17-1-1,462195,62258,13.47,0,0.00,46883,10.14,72695,8/6
SAO6,banded,black,S17-1-2,405697,66768,16.46,0,0.00,7886,1.94,69251,8/6
SAO6,banded,black,S17-2-1,573907,68546,11.94,0,0.00,43882,7.65,79332,8/6
SAO6,banded,black,S17-3-1,573260,96094,16.76,0,0.00,69397,12.11,90125,8/6
SAO6,banded,black,S17-3-2,474386,99071,20.88,0,0.00,15317,3.23,75848,8/6
SAO6,banded,black,S18-1-2,462519,58793,12.71,0,0.00,31920,6.90,80056,8/6
SAO6,banded,black,S18-3-1,417403,79490,19.04,0,0.00,21933,5.25,86250,8/6
SAO6,banded,black,S20-1-2,362667,84805,23.38,0,0.00,42293,11.66,88300,8/6
SAO6,banded,black,S20-2-2,354148,69348,19.58,0,0.00,15645,4.42,71916,8/6
SAO6,banded,black,S20-3-1,365716,78101,21.36,0,0.00,31217,8.54,96656,8/6
SAO6,banded,black,S20-3-2,317446,73558,23.17,0,0.00,8914,2.81,66577,8/6
SAO6,banded,black,S21-1-1,291168,52898,18.17,0,0.00,34260,11.77,72378,8/6
SAO6,banded,black,S21-1-2,352788,36344,10.30,0,0.00,66369,18.81,85446,8/6
SAO6,banded,black,S21-2-1,339884,81448,23.96,0,0.00,0,0.00,99803,8/6
SAO6,banded,black,S21-2-2,363104,67452,18.58,0,0.00,33706,9.28,95761,8/6
SAO6,banded,black,S21-3-1,308259,53808,17.46,0,0.00,31782,10.31,82874,8/6
SAO6,banded,black,S21-3-2,407523,87725,21.53,0,0.00,9889,2.43,108490,8/6
SAO6,banded,black,S22-1-1,441781,85730,19.41,0,0.00,101172,22.90,77763,8/6
SAO6,banded,black,S22-1-2,389357,79331,20.37,0,0.00,0,0.00,66018,8/6
SAO6,banded,black,S22-2-1,383185,83272,21.73,0,0.00,15204,3.97,103787,8/6
SAO6,banded,black,S22-2-2,338144,72352,21.40,0,0.00,11235,3.32,65139,8/6
SAO6,banded,black,S22-3-1,468439,81746,17.45,0,0.00,46099,9.84,84917,8/6
SAO6,banded,black,S22-3-2,412463,69913,16.95,0,0.00,13536,3.28,77297,8/6
SAO6,banded,black,S23-1-1,420326,70170,16.69,0,0.00,72930,17.35,87961,8/6
SAO6,banded,black,S23-1-2,369420,88170,23.87,0,0.00,0,0.00,103521,8/6
SAO6,banded,black,S23-2-1,474475,61617,12.99,0,0.00,27316,5.76,69315,8/6
SAO6,banded,black,S23-2-2,376782,100722,26.73,0,0.00,0,0.00,93074,8/6
SAO6,banded,black,S23-3-1,404639,70813,17.50,0,0.00,21088,5.21,82861,8/6
SAO6,banded,black,S23-3-2,320723,48459,15.11,0,0.00,35697,11.13,65297,8/6
SAO6,banded,black,S24-1-1,415390,69867,16.82,0,0.00,23604,5.68,92949,8/6
SAO6,banded,black,S24-1-2,407986,45174,11.07,0,0.00,22862,5.60,55982,8/6
SAO6,banded,black,S24-2-1,515807,105977,20.55,0,0.00,30235,5.86,98010,8/6
SAO6,banded,black,S24-2-2,537452,76844,14.30,0,0.00,78163,14.54,84255,8/6
SAO6,banded,black,S24-3-1,462794,65581,14.17,0,0.00,34333,7.42,90823,8/6
SAO6,banded,black,S24-3-2,533780,73965,13.86,0,0.00,44966,8.42,80028,8/6
PC22,striped,yellow,S1-1-1,316744,58081,18.34,0,0.00,25486,8.05,82745,8/7
PC22,striped,yellow,S1-2-1,211974,48017,22.65,0,0.00,22937,10.82,52807,8/7
PC22,striped,yellow,S1-3-1,297027,52319,17.61,14962,5.04,30024,10.11,52617,8/7
PC22,striped,yellow,S1-4-1,313931,67924,21.64,8711,2.77,43874,13.98,76347,8/7
PC22,striped,yellow,S2-1-1,311572,41848,13.43,23912,7.67,19888,6.38,66710,8/7
PC22,striped,yellow,S2-1-2,480239,72684,15.13,47207,9.83,71331,14.85,122955,8/7
PC22,striped,yellow,S2-2-1,298124,30211,10.13,26151,8.77,24083,8.08,74576,8/7
PC22,striped,yellow,S2-2-2,332984,49663,14.91,31639,9.50,44383,13.33,82769,8/7
PC22,striped,yellow,S2-3-1,284654,28802,10.12,22075,7.76,28530,10.02,62576,8/7
PC22,striped,yellow,S2-3-2,245345,25025,10.20,21573,8.79,31825,12.97,56847,8/7
PC22,striped,yellow,S4-1-1,362767,50996,14.06,29989,8.27,13527,3.73,86941,8/7
PC22,striped,yellow,S4-2-1,300208,31003,10.33,31298,10.43,15589,5.19,73108,8/7
PC22,striped,yellow,S4-2-2,231559,35364,15.27,6196,2.68,4233,1.83,56817,8/7
PC22,striped,yellow,S4-3-1,303706,44874,14.78,18507,6.09,5186,1.71,70076,8/7
PC22,striped,yellow,S4-3-2,285000,32182,11.29,17989,6.31,12584,4.42,74318,8/7
PC22,striped,yellow,S5-1-1,267328,33485,12.53,19784,7.40,21438,8.02,60212,8/7
PC22,striped,yellow,S5-1-2,287925,29764,10.34,19585,6.80,11524,4.00,62598,8/7
PC22,striped,yellow,S5-2-1,278282,33674,12.10,23157,8.32,14967,5.38,67371,8/7
